institution,credit_code,credit_name,category,category_code,pillar,status,score,max,institution_key,pct_of_max
"University of California, Berkeley",IL-64,Workplace Recognition,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",OP-1,Building Design and Construction,Operations,OP,Environmental,Complete,2.91,3.0,berkeley,97.0
"University of California, Berkeley",OP-10,Purchased Goods,Operations,OP,Environmental,Complete,2.8,4.0,berkeley,70.0
"University of California, Berkeley",OP-11,Materials Management,Operations,OP,Environmental,Complete,3.75,4.0,berkeley,93.8
"University of California, Berkeley",OP-12,Waste Generation and Recovery,Operations,OP,Environmental,Complete,3.27,5.0,berkeley,65.4
"University of California, Berkeley",OP-13,Vehicle Fleet,Operations,OP,Environmental,Complete,0.28,2.0,berkeley,14.0
"University of California, Berkeley",OP-14,Commute Modal Split,Operations,OP,Environmental,Complete,4.89,6.0,berkeley,81.5
"University of California, Berkeley",OP-15,Air Travel,Operations,OP,Environmental,Complete,2.0,2.0,berkeley,100.0
"University of California, Berkeley",OP-2,Building Operations and Maintenance,Operations,OP,Environmental,Complete,4.0,5.0,berkeley,80.0
"University of California, Berkeley",OP-3,Water Use,Operations,OP,Environmental,Complete,2.43,7.0,berkeley,34.7
"University of California, Berkeley",OP-4,Ecologically Managed Grounds,Operations,OP,Environmental,Complete,5.0,5.0,berkeley,100.0
"University of California, Berkeley",OP-5,Energy Use,Operations,OP,Environmental,Complete,6.87,10.0,berkeley,68.7
"University of California, Berkeley",OP-6,Greenhouse Gas Emissions,Operations,OP,Environmental,Complete,8.01,16.0,berkeley,50.1
"University of California, Berkeley",OP-7,Dining Service Procurement,Operations,OP,Environmental,Complete,5.46,8.0,berkeley,68.2
"University of California, Berkeley",OP-8,Food Recovery,Operations,OP,Environmental,Complete,2.0,2.0,berkeley,100.0
"University of California, Berkeley",OP-9,Sustainable Procurement System,Operations,OP,Environmental,Complete,7.0,7.0,berkeley,100.0
"University of California, Berkeley",PA-1,Sustainability Coordination,Planning & Administration,PA,Governance,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",PA-10,Student Success,Planning & Administration,PA,Social,Complete,2.8,3.0,berkeley,93.3
