institution,credit_code,credit_name,category,pillar,indicator,section,field,units,value_numeric,institution_key,gri_standard,gri_disclosure,relationship,mapped_to_gri,is_intensity,comparable
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by walking or the equivalent,,17.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by zero emission vehicle,,0.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,"Percentage of students that commute using single-occupancy car, van, or truck",,6.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,14.1 Percentage of students and employees using more sustainable commuting options,,Percentage of students that use more sustainable commuting options,,92.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Floor area of existing buildings individually assessed for energy performance,Square meters,210887.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Floor area of existing buildings individually assessed for indoor environmental quality (IEQ) performance,Square meters,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Floor area of existing buildings managed or individually assessed for water performance,Square meters,4269.79,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Floor area of existing buildings managed under a green cleaning program,Square meters,190516.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Floor area of existing buildings third party certified to a green building standard that addresses operations and maintenance,Square meters,9555.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Gross floor area of existing building space,Square meters,210887.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Percentage of existing buildings assessed for IEQ performance,,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Percentage of existing buildings assessed for energy performance,,100.0,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Percentage of existing buildings managed or assessed for water performance,,2.02,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Percentage of existing buildings managed under a green cleaning program,,90.34,tudublin,,,,False,False,True
Technological University Dublin,OP-2,Building Operations and Maintenance,Operations,Environmental,2.1 Percentage of existing buildings managed for sustainability performance,,Percentage of existing buildings third party certified to a green building standard that addresses operations and maintenance,,4.53,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Annual potable water use,Cubic meters,56570.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Annual potable water use per person,Liters,2240.84,tudublin,,,,False,True,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.2 Potable water use per square meter,,Annual potable water use per unit of floor area,Liters per square meter,268.25,tudublin,,,,False,True,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.4 Ratio of water recovered/returned to total water withdrawal,,Annual volume of water recovered and/or returned,Cubic meters,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Full-time equivalent of employees,,2404.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Full-time equivalent student enrollment,,22841.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Full-time equivalent students and employees,,25245.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.2 Potable water use per square meter,,Gross floor area of building space,Square meters,210887.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Other off-site water sources,Cubic meters,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Other on-site water sources,Cubic meters,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Potable water from off-site sources,Cubic meters,56570.0,tudublin,GRI 303,303-3,component,True,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Potable water from on-site sources,Cubic meters,0.0,tudublin,GRI 303,303-3,component,True,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.4 Ratio of water recovered/returned to total water withdrawal,,Ratio of water recovered/returned to total water withdrawal,,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.1 Potable water use per person,,Reclaimed water from off-site sources,Cubic meters,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-3,Water Use,Operations,Environmental,3.4 Ratio of water recovered/returned to total water withdrawal,,Total water withdrawal,Cubic meters,56570.0,tudublin,GRI 303,303-3,equivalent,True,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Area managed organically,Hectares,0.11,tudublin,,,,False,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Area of tree canopy,Hectares,1.59,tudublin,,,,False,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Area protected or restored,Hectares,1.64,tudublin,,,,False,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Ratio of areas managed organically to total managed green space,,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Ratio of areas protected or restored to total managed green space,,0.04,tudublin,,,,False,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Ratio of tree canopy to total managed green space,,0.04,tudublin,,,,False,False,True
Technological University Dublin,OP-4,Ecologically Managed Grounds,Operations,Environmental,4.2 Ratio of ecologically managed green space to total managed green space,,Total area of managed green space,Hectares,43.59,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.2 Energy consumption per person,,Annual energy consumption per person,Kilowatt-hours,1520.74,tudublin,GRI 302,302-3,intensity,True,True,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.1 Energy consumption per square meter,Heating and cooling from off-site sources,Annual energy consumption per unit of floor area,Kilowatt-hours per square meter,182.05,tudublin,GRI 302,302-3,intensity,True,True,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Demand reduction,Annual renewable energy consumption,Megawatt-hours,8397.21,tudublin,GRI 302,302-1,partial,True,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.1 Energy consumption per square meter,Stationary fuels,Bioenergy products,Megawatt-hours,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Renewable stationary fuels,Certified bioenergy products,Megawatt-hours,0.21,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Contractual instruments for renewable electricity,Certified unbundled EACs,Megawatt-hours,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.1 Energy consumption per square meter,Heating and cooling from off-site sources,Chilled water from off-site sources,Megawatt-hours,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.1 Energy consumption per square meter,Stationary fuels,Coal/coke,Megawatt-hours,0.0,tudublin,GRI 302,302-1,component,True,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Contractual instruments for renewable electricity,Electricity from certified off-site renewable sources,Megawatt-hours,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.1 Energy consumption per square meter,Electricity,Electricity from off-site sources,Megawatt-hours,15046.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Demand reduction,"Electricity from on-site renewable systems, rights retained/retired",Megawatt-hours,7.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Demand reduction,Electricity from renewable sources,Megawatt-hours,6131.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Contractual instruments for renewable electricity,Electricity from uncertified off-site renewable sources,Megawatt-hours,6124.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.1 Energy consumption per square meter,Electricity,Electricity generated by on-site renewable systems,Megawatt-hours,7.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.3 Percentage of energy from renewable sources,Contractual instruments for renewable electricity,Energy attribute certificates (EACs) sold or not owned by the institution,Megawatt-hours,0.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.2 Energy consumption per person,,Full-time equivalent of employees,,2404.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.2 Energy consumption per person,,Full-time equivalent student enrollment,,22841.0,tudublin,,,,False,False,True
Technological University Dublin,OP-5,Energy Use,Operations,Environmental,5.2 Energy consumption per person,,Full-time equivalent students and employees,,25245.0,tudublin,,,,False,False,True
