institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of electricity (market-based),"1,256",Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of electricity (location-based),,,False
"University of California, Berkeley",305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of heating and cooling,0,Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from business travel,"19,913",Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from commuting,"12,836",Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from purchased goods and services,,,False
"University of California, Berkeley",305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from capital goods,,,False
"University of California, Berkeley",305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from waste generated in operations,728,Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from fuel- and energy-related activities not included in scope 1 or scope 2,22,Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-4,GHG emissions intensity,intensity,OP-6,Annual scope 1 and 2 GHG emissions per person,"2,368.25",Kilograms of CO2 equivalent,True
"University of California, Berkeley",305-4,GHG emissions intensity,intensity,OP-6,Annual scope 1 and 2 GHG emissions per unit of floor area,91.79,Kilograms per square meter,True
"University of California, Berkeley",305-5,Reduction of GHG emissions,partial,OP-6,Percentage reduction in scope 1 and 2 GHG emissions from baseline,9.83,,True
"University of California, Berkeley",306-2,Management of significant waste-related impacts,component,OP-11,"Does the institution have a surplus program through which institution-owned items that are no longer needed are stored for eventual sale, donation, or reuse?",Yes,,True
"University of California, Berkeley",306-2,Management of significant waste-related impacts,component,OP-11,Does the institution have or participate in a reuse program through which employees and/or students can donate personal items for redistribution?,Yes,,True
"University of California, Berkeley",306-2,Management of significant waste-related impacts,component,OP-11,Has the institution eliminated the on-site use of at least one form of single-use disposable plastic?,Yes,,True
"University of California, Berkeley",306-2,Management of significant waste-related impacts,component,OP-11,Does the institution have a hazardous waste management program or protocol that includes measures to minimize or reduce the use of hazardous materials?,Yes,,True
"University of California, Berkeley",306-2,Management of significant waste-related impacts,component,OP-11,Narrative and/or website URL providing an overview of the institution’s composting program,UC Berkeley campus has integrated composting into all of our collection systems and its sent to an industrial compost facility. https://facilities.berkeley.edu/operating-units/campus-operations/cal-zero-waste,,True
