institution,credit_code,category,pillar,credit_name,indicator,section,field,value,units,value_numeric,value_type,links
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Points earned for indicator AC 2.1,4,,4.0,number,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,"Does the institution offer at least one sustainability-focused degree, certificate, or major for undergraduate students?",Yes,,,boolean,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,"List and description of the institution’s sustainability-focused degrees, certificates, and majors for undergraduate students","The following degree programmes are available for Undergraduate students. Please also see document uploaded under ""optional documentation"" where a full description of the insitutions programme mapping work is presented. College Programme Qual code Description SEFS Applied Plant Biology BSCRBL Applied Plant Biology (APB) addresses important environmental issues including climate change, biodiversity decline, dwindling natural resources and food insecurity. It also involves using plants to generate new products, such as foods, pharmaceuticals, or biofuels. Ecology and Environmental Biology BSCREB This degree addresses such questions as; what controls animal and plant distribution, abundance and biodiversity? How do energy and nutrients move around ecosystems? How do species interact with each other? It also examines the biology of various habitats from marine and freshwater to terrestrial habitats and the soil. It uses the understanding of basic ecological principles and concepts to predict and manage the environmental change caused by the human impact on natural ecosystems. Environmental Science BSCRES The course covers environmental issues such as climate change, conserving biodiversity, management of waste and natural resources, production of energy and protecting human health are now high on the agenda of all governments, resulting in stringent regulations and standards, but also new directions for research, focussed on improving the sustainability of all human activities. Geoscience BSCRGC Includes sourcing information on current geoscience issues and critically appraise it for scientific credibility and relevance particularly in the context of geohazards (e.g., earthquakes, flooding, landslides), their monitoring and mitigation, synthesise and apply published information and data from the Earth sciences to the analysis of geoscience and environmental problems; Zoology BSCRZY Students will learn about all animal biology, from microscopic, single-celled forms to complex forms such as fish, reptiles, birds and mammals. At UCC we focus on many different aspects of animals in marine, freshwater and terrestrial habitats, including conservation and management, animal behaviour (in the wild and at the nearby Fota wildlife park), evolution, health and disease, physiology, anatomy, climate change and of course biodiversity. COBL BSc International Development CK214 Learning outcomes include Demonstrate understanding of social and economic development in a global context, Demonstrate ability to engage with key global issues from an inter-disciplinary perspective. BSc Government and Political Science CK122 This degree combines political science with a range of subjects in business, law, modern languages, social sciences and information technology. It also offers a work placement in Year 3, including prestigious internships in the New York State Legislature and the New York State Senate, as well as other highly prized placements in international and national institutions. CACSSS BA Sociology CK101 Sociology is concerned with identity and multiculturalism; sexuality and intimacy; media and popular culture; environment and sustainability; law and justice; crime and deviance; conflict and violence; anthropology, civilisation and religion; art, culture and literature; health and well-being; politics and community; economy and society. COMH BSc Public Health CK706 Assessing the health and well-being of populations; Investigating complex public health problems such as obesity, HIV/AIDS and the impact of COVID-19; Assessing the health impact of policy at local, national, and global levels; Communicating effectively with colleagues in public health and the wider health system, as well as with society at large",,,text_long,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,Does the institution offer at least one sustainability-focused concentration or minor for undergraduate students?,Yes,,,boolean,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,List and description of the institution’s sustainability-focused concentrations and minors for undergraduate students,"Degree Concentration Description CK101 Arts Geography Geography offers a powerful lens to explore the complex relationship between people and planet. It reveals the vast diversity of human activity across the Earth's surface and uncovers the intricate ways in which we interact with natural systems. Through this perspective, students engage with the most urgent global challenges of our time—land use and environmental policy, climate change, environmental justice, global migration, urban inequalities, geopolitics, and questions of place, culture, identity, gender, and inclusion. Religions and Global Diversity Religions and Global Diversity is a course that reflects on the critical study of religions and cultures around the world aligning with UCC's tradition of independent thinking. Unlike traditional theology courses; Religions and Global Diversity does not assume you are a believer and is not about promoting religion. It’s a fascinating subject for anyone with an interest in the power of religion, whether or not you follow a religion. BE Engineering Energy Engineering Through a combination of solid engineering fundamentals covered in the first two years of the course (e.g. thermodynamics, fluids, and electrical systems) and advanced energy engineering topics covered in the final two years (including power electronics, control systems, wind, solar photovoltaic and ocean energy, biomass energy demand management and energy policy), graduates of the Energy Engineering course will be well-equipped to source, design, convert, transmit and supply useful energy to meet the world's present and long-term needs. Civil Structural and Environmental Engineering Civil, Structural and Environmental engineering is the application of science to planning, design, and construction for the benefit of society while minimising environmental impact. Engineers are curious about how the world works. They enjoy solving problems and are creative and inventive people.",,,text_long,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,Does the institution offer at least one undergraduate qualification focused on a subject other than sustainability that has a sustainability-focused learning requirement?,Yes,,,boolean,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,List and description of the institution’s undergraduate qualifications focused on subjects other than sustainability that have sustainability-focused learning requirements,"College Programme Description COMH BSc Nursing (General) Includes the module NU4115 (Healthcare and the UN Sustainable Development Goals) which covers topics such as: Waste management in clinical settings, Aprons and Gloves: usage and overuse, Food Waste in hospitals, Energy and Water usage in healthcare, Single Use plastics in healthcare BSc (Midwifery) Includes the module NU4115 (Healthcare and the UN Sustainable Development Goals) which covers topics such as: Waste management in clinical settings, Aprons and Gloves: usage and overuse, Food Waste in hospitals, Energy and Water usage in healthcare, Single Use plastics in healthcare CACSSS BSocSc Social Science The first year of the course provides a foundation in a range of social science disciplines, including Social Policy, Sociology, Philosophy, Psychology and Economics. It covers topics such as the migration and climate crises, intensifying global inequalities, fluctuating public trust in science, and the rise of authoritarianism BA (Geographical and Archaeological Sciences) Geography and Archaeology are closely related disciplines, concerned with concepts of time and space in relation to human culture and landscape. This BA offers a broad foundation in both, with relevant teaching in the areas of computer science, earth science and environmental science. BA (World Languages) The programme aims to produce graduates with sought-after language skills, as well as an understanding of language as a system and of the cultures of the languages studied. BEd (Science Education) UCC’s Science Education programme is an example of the concurrent model of teacher training which means that you study both science and education over the duration of the programme. Modules covered include ""Habitats and Ecosystems"" and ""Microbiology in Society"". BA Irish Cultural Studies UCC’s Science Education programme is an example of the concurrent model of teacher training which means that you study both science and education over the duration of the programme. BA Economics (International) Students are exposed to a range of topics critical to our understanding of the modern world including Environmental Economics and Sustainability, Financial Economics, Health Economics, Regional and Urban Economics and Sports Economics. BA Folklore Ireland has one of the world's largest folklore archives. Folklore has been a vital aspect of Irish identity for hundreds of years, contributing to its literature, history and culture. Folklore, however, is not just in the past or in the countryside, it’s also in the contemporary world and in cities. It remains a significant element in the ongoing cultural process of popular traditions and expressions. Folklore at UCC introduces the main areas of the discipline, such as narratives, stories, festivals, rituals, tools, technologies and material culture, before developing the theories, ideas and methods of Folklore, including the theories of fieldwork, original research, archives and community identity. BA Philosophy Philosophy at UCC has particular strengths in moral and political philosophy, as well as in philosophy of mind, body and action. Its greatest strength, however, is its commitment to pluralism and interdisciplinarity, which combines these fields with research and teaching in Aesthetics; Comparative Continental European and Asian Philosophy; Philosophy of Science; Philosophy of Economics; and Metaphysics and Epistemology. BA Politics Includes modules on topics such as Citizen Participation, Conflict and Conflict Resolution, Feminist Philosophy, Global Political Economy,Institutions of the EU, Model European Union, Philosophy of Knowledge, The European Union and the International System, USA Politics; Violence and War Women, Gender and Politics BSC (Architecture) This degree explores new ways of living, investigates new technologies and materials, and strives to ensure that new buildings, towns and landscapes are environmentally sustainable. It combines art, science and technology in the design and construction of buildings and their surroundings within a sociocultural context. Architects are engaged in all aspects and creating the built environment from feasibility studies, outline and detailed design, through planning, to construction and management. COBL BSc Applied Economics Students are exposed to a range of topics critical to our understanding of the modern world including Environmental Economics and Sustainability, Financial Economics, Health Economics, Regional and Urban Economics and Sports Economics. BSc Food Marketing and Entrepreneurship Includes modules such as Introduction to Sustainable Food Marketing Channels and Supply Chains, Public Health Nutrition, Global Food Policy, Global Food Supply Chain Management and Circular Economy. BSc International Business with languages Modules include the following: International Business; the International Economy; Analytics for International Business; Sustainability in International Businesses; Responsible Leadership and Communication. SEFS BAgrSc (Hons) - Bachelor of Agricultural Science An interdisciplinary degree that includes a number of modules in environmental sciences and food policy. BE (Hons) (Process and Chemical) Engineering Process and Chemical engineering helps provide a pathway towards meeting societal requirements around health and wellbeing, energy provision, food production, water supply, waste management and consumer goods. BSc Nutritional Science Learning outcomes include the ability to identify and critically evaluate emerging knowledge in nutrition and use this as a basis for developing novel approaches to solving challenges in industry, research/academia, government agencies, healthcare and other sectors; BSc Food Science Includes macro level issues such as developing new food products in order to meet the demands of society for high quality, safe, and nutritious food. Emerging challenges in food science include the nutritional needs and food preferences of health conscious consumers, elite athletes, and aging populations; the sustainability and environmental impact of food production; and the development of innovative technologies with potential applications in foods.",,,text_long,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.2 Undergraduate programs with sustainability-focused learning requirements,,Points earned for indicator AC 2.2,4,,4.0,number,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Performance year for undergraduate qualifications,2024,,2024.0,year,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.3 Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,,Total number of undergraduate qualifications awarded,"2,298",,2298.0,number,
