institution,stars_version,pillar,category,category_code,credit_code,credit_name,status,score,max
Technological University Dublin,3.0,Context,Academics,AC,AC-4,Applied Learning,Complete,4.0,4.0
Technological University Dublin,3.0,Context,Academics,AC,AC-5,Sustainability Literacy Assessment,Complete,1.58,4.0
Technological University Dublin,3.0,Context,Academics,AC,AC-6,Sustainability Research,Complete,10.0,10.0
Technological University Dublin,3.0,Context,Academics,AC,AC-7,Center for Sustainability Research,Complete,6.0,6.0
Technological University Dublin,3.0,Context,Academics,AC,AC-8,Responsible Research and Innovation,Complete,7.0,7.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-1,Outreach and Communications,Complete,5.0,5.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-2,Co-Curricular Activities,Complete,9.0,9.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-3,Staff Engagement and Training,Complete,8.0,8.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-4,Sustainability Culture Assessment,Complete,2.0,3.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-5,Civic Engagement,Complete,4.5,8.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-6,Community Partnerships,Complete,7.0,9.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-7,Continuing Education,Complete,3.0,3.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-8,Shared Facilities,Complete,2.0,2.0
Technological University Dublin,3.0,Context,Engagement,EN,EN-9,Inter-Campus Collaboration,Complete,3.0,3.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-1,Building Design and Construction,Complete,1.38,3.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-2,Building Operations and Maintenance,Complete,1.97,5.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-3,Water Use,Complete,4.33,6.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-4,Ecologically Managed Grounds,Complete,0.69,5.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-5,Energy Use,Complete,6.34,10.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-6,Greenhouse Gas Emissions,Complete,10.79,16.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-7,Dining Service Procurement,Complete,4.54,8.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-8,Food Recovery,Complete,2.0,2.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-9,Sustainable Procurement System,Complete,2.4,7.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-10,Purchased Goods,Complete,2.75,4.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-11,Materials Management,Complete,2.25,4.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-12,Waste Generation and Recovery,Complete,3.94,5.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-13,Vehicle Fleet,Complete,2.0,2.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-14,Commute Modal Split,Complete,5.39,6.0
Technological University Dublin,3.0,Environmental,Operations,OP,OP-15,Air Travel,Complete,0.0,2.0
Technological University Dublin,3.0,Governance,Planning & Administration,PA,PA-1,Sustainability Coordination,Complete,1.0,1.0
Technological University Dublin,3.0,Governance,Planning & Administration,PA,PA-2,Commitments and Planning,Complete,5.67,6.0
Technological University Dublin,3.0,Governance,Planning & Administration,PA,PA-3,Institutional Governance,Complete,4.0,4.0
Technological University Dublin,3.0,Governance,Planning & Administration,PA,PA-4,Sustainable Investment Program,Not Applicable,,
Technological University Dublin,3.0,Governance,Planning & Administration,PA,PA-5,Investment Holdings,Not Applicable,,
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-6,Institutional Climate,Complete,3.0,3.0
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-7,Racial and Ethnic Representation,Complete,0.86,3.0
