institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type,links
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Notes about the information provided for this credit,"The information for sustainability course offerings was collected via a UC Berkeley course inventory from 2021-2024 filtering for items that qualified as sustainability-focused or sustainability-related courses. UC Berkeley Office of Sustainability undergraduate fellows classified the courses as sustainability-related or -focused based on the descriptions provided in the STARS technical manual. All courses that were either -focused or -related were counted as a sustainability offering. The resulting courses were then analyzed by the school's Office of Planning and Analysis to calculate the percentage of total departments that had at least one sustainability course offering. The Office of Planning and Analysis (OPA) is UC Berkeley's central institutional research unit. The OPA supports data-informed decision making to help UC Berkeley better fulfill its goals of access and excellence through teaching, research, and public service.",,,text_long,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Additional documentation for this credit,,,,not_reported,
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Has the institution established institutional learning outcomes for its undergraduate students?,Yes,,,boolean,
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Online resource detailing the institutional learning outcomes for undergraduate students,https://guide.berkeley.edu/undergraduate/education/#earningyourdegreetext,,,url,https://guide.berkeley.edu/undergraduate/education/#earningyourdegreetext
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Publication detailing the institutional learning outcomes for undergraduate students,UCB_Sustainability_Learning_Outcomes_AY_2020-21_to_2022-23_YDcnrUK_Updated.xlsx,,,text,https://reports.aashe.org/media/uploads/test_cases/UCB_Sustainability_Learning_Outcomes_AY_2020-21_to_2022-23_YDcnrUK_Updated.xlsx
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-focused?,No,,,boolean,
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-focused,,,,not_reported,
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-supportive?,Yes,,,boolean,
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-supportive,"The American Cultures requirement is a Berkeley campus requirement, one that all undergraduate students at Berkeley need to pass in order to graduate. The requirement was instituted in 1991 to introduce students to the diverse cultures of the United States through a comparative framework. Courses are offered in more than fifty departments in many different disciplines at both the lower and upper division level. The American Cultures requirement and courses constitute a new approach that responds directly to the problem encountered in numerous disciplines of how better to present the diversity of American experience to the diversity of American students whom we now educate. Faculty members from many departments teach American cultures courses, but all courses have a common framework. The courses focus on themes or issues in United States history, society, or culture; address theoretical or analytical issues relevant to understanding race, culture, and ethnicity in American society; take substantial account of groups drawn from at least three of the following: African Americans, Indigenous peoples of the United States, Asian Americans, Chicano/Latino Americans, and European Americans; and are integrative and comparative in that students study each group in the larger context of American society, history, or culture. These courses focus upon how the diversity of America's constituent cultural traditions have shaped and continue to shape American identity and experience. This is not an ethnic studies requirement, nor a Third World cultures requirement, nor an adjusted Western civilization requirement, nor a course on racism. The American Cultures requirement meets the STARS definition of sustainability-supportive in the following ways: - Students will be able to demonstrate an understanding of the nature of systems. - Students will have an understanding of their social responsibility as future professionals and citizens. - Students will be able to accommodate individual differences in their decisions and actions and be able to negotiate across these differences. - Students will be able to analyze power, structures of inequality, and social systems that govern individual and communal life. - Students will be able to recognize the global implications of their actions. https://guide.berkeley.edu/undergraduate/colleges-schools/chemistry/american-cultures-requirement/",,,text_long,https://guide.berkeley.edu/undergraduate/colleges-schools/chemistry/american-cultures-requirement/
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Points earned for indicator AC 2.1,2,,2.0,number,
