institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,List and description of the institution’s sustainability-focused concentrations and minors for undergraduate students,"Within some TU Dublin degree programmes, students can choose (i) a stream/pathway within a programme consisting of bundled modules and/or (ii) to take optional elective modules for further specialisation. While these may not be formally labelled as 'minors' or 'concentrations,' they allow students to concentrate subjects as part of their overall studies. Examples of sustainability-focused “stream” and “elective modules” for undergraduate students are provided below. The programme TU835 on “ Planning & Environmental Management ” (Ref1), is a 4-Years Full-time programme awarding the Bachelors of Science (Honours) which provide an Environmental Management stream in year 2, 3 & 4. The programme TU835 on “ Business & Management ” (Ref2), is a 4-Years Full-time programme awarding the Bachelors of Science (Honours) which provide elective modules on year 2, 3 and 4. Sustainability-focused elective modules include “Business Sustainability” and “Sustainable Supply Chain Management”. URL References: Ref 1: https://www.tudublin.ie/study/undergraduate/courses/planning-and-environmental-management-tu835/ Ref2: https://www.tudublin.ie/study/undergraduate/courses/business-and-management-tu903/",,,text_long
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Does the institution offer at least one undergraduate qualification focused on a subject other than sustainability that has a sustainability-focused learning requirement?,Yes,,,boolean
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,List and description of the institution’s undergraduate qualifications focused on subjects other than sustainability that have sustainability-focused learning requirements,"TU706, Electrical Services Engineering, Undergraduate 3 years Full-time Level 7 Grangegorman, Award: Bachelor of Engineering Technology TU716, Networking Technologies, Undergraduate 3 years Full-time Level 7 Grangegorman, Award: BTech TU835, Planning & Environmental Management, Undergraduate 4 years Full-time Level 8 Bolton Street TU953, Tourism & Digital Marketing, Undergraduate 4 years Full-time Level 8 Grangegorman TU747, Tourism Management, Undergraduate 3 years Full-time Level 7 Grangegorman TU831, Architectural Technology, Undergraduate 4 years Full-time Level 8 Bolton Street TU943, Culinary Entrepreneurship, Undergraduate 4 years Full-time Level 8 Grangegorman",,,text_long
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Points earned for indicator AC 2.2,4,,4.0,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Performance year for undergraduate qualifications,2023,,2023.0,year
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Total number of undergraduate qualifications awarded,643,,643.0,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Number of undergraduate qualifications awarded that are sustainability-focused,341,,341.0,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Number of undergraduate qualifications awarded that are focused on subjects other than sustainability but have sustainability-focused learning requirements,144,,144.0,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Total number of undergraduate qualifications awarded that have sustainability-focused learning requirements,485,,485.0,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Percentage of undergraduate qualifications awarded that have sustainability-focused learning requirements,75.43,,75.43,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Points earned for indicator AC 2.3,5.28,,5.28,number
